supplier_name,country,currency,risk_level,supplied_parts
BYD FinDreams Battery,China,CNY,High,"Blade Battery Pack; LFP Blade Cell Module; Battery Management System"
CATL Strategic Cells,China,CNY,Critical,"LFP Blade Cell Module"
Infineon Automotive,Malaysia,USD,High,"Inverter Power Module; Vehicle Control Electronics; ADAS Sensor Suite"
Bosch Mobility Thailand,Thailand,THB,Medium,"Brake and Suspension System; Vehicle Control Electronics"
Denso Thailand,Thailand,THB,Medium,"Battery Management System; Cockpit and Seat Assembly"
Hanon Thermal Systems,Korea,USD,Medium,"Cockpit and Seat Assembly"
Nidec E-Axle Systems,Japan,JPY,High,"E-Axle Drive Unit; Permanent Magnet Motor"
Fuyao Automotive Glass,China,CNY,Medium,"Body-in-White Structure"
Thai Summit Auto Parts,Thailand,THB,Low,"Body-in-White Structure; Aluminum Chassis Subframe"
Siam Steel Components,Thailand,THB,Medium,"Body-in-White Structure; Brake and Suspension System"
Yazaki Wiring Thailand,Thailand,THB,Medium,"Vehicle Control Electronics; ADAS Sensor Suite"
DHL Automotive Logistics,Germany,EUR,High,"Inbound and Outbound Logistics"
Laem Chabang Port Services,Thailand,THB,Medium,"Inbound and Outbound Logistics"
AVL Engineering Services,Austria,EUR,Medium,"Platform R&D Allocation"
BYD Corporate Shared Services,China,CNY,Low,"Final Assembly Manufacturing; Corporate SG&A Allocation; Enterprise Risk Reserve; Quality and Warranty Provision"
